Date,Communication Services,Consumer Discretionary,Consumer Staples,Energy ,Financials,Health Care,Information Technology,Materials,Real Estate,Utilities,Industrials
2017-08-18,247.9271698,1715.697869,2056.030684,1339.885241,1288.96375,1329.700943,1319.516645,1520.140353,1509.990783,1384.699619,1775.96126
2017-08-21,247.6728973,1717.408757,2061.455633,1342.179096,1286.587158,1331.060708,1319.942321,1520.021509,1511.236454,1385.171208,1784.2998
2017-08-22,248.308609,1729.56784,2079.459764,1352.445405,1297.608672,1341.478058,1330.510711,1543.215879,1524.898047,1398.359462,1810.14561
2017-08-23,248.3509674,1713.839752,2082.195858,1348.128859,1288.415128,1336.186113,1324.243367,1558.312211,1521.617327,1396.150501,1808.54877
2017-08-24,247.2490997,1710.759036,2088.398066,1348.802067,1293.924892,1337.826632,1326.851197,1575.194116,1525.965144,1401.427341,1809.15591
2017-08-25,245.9352875,1706.319099,2080.588365,1344.280917,1288.626524,1333.150039,1322.01916,1570.34981,1520.761988,1396.531406,1809.58285
2017-08-29,243.901001,1689.567931,2071.507387,1334.992106,1277.019665,1323.397618,1311.80313,1566.470339,1510.679739,1387.393766,1794.15791
2017-08-30,246.401474,1698.28089,2078.501776,1341.06138,1284.419019,1329.732908,1318.404435,1563.966567,1516.338139,1392.320408,1807.76274
2017-08-31,247.9695282,1728.057072,2093.715935,1356.580845,1297.932848,1344.851246,1333.121646,1574.832311,1532.727415,1406.674385,1824.27424
2017-09-01,244.4943542,1737.447328,2093.939093,1358.626925,1304.320704,1347.765681,1336.904436,1578.078592,1536.726108,1410.403741,1838.8869
2017-09-04,245.7657623,1737.785983,2082.049129,1355.200292,1296.902327,1343.540699,1331.881106,1588.011461,1533.624428,1408.193385,1845.13489
2017-09-05,243.8586578,1738.307656,2051.644508,1344.603607,1293.006915,1334.284269,1323.964931,1580.557565,1523.767065,1400.030725,1842.60806
2017-09-06,241.9091187,1737.495304,2057.865622,1345.756681,1287.51995,1334.109335,1322.461989,1573.195756,1522.629234,1397.612158,1824.50098
2017-09-07,242.8838806,1746.476975,2062.67836,1350.679739,1285.9344,1337.730671,1324.781603,1593.7575,1528.86275,1403.624444,1839.99749
2017-09-08,240.6800995,1727.605546,2051.604609,1339.963418,1291.628596,1330.296454,1320.629489,1574.000315,1519.389775,1395.984675,1843.58089
2017-09-11,240.6800995,1731.833937,2033.932989,1335.482342,1301.460922,1328.678058,1321.873774,1575.359803,1518.374546,1396.871574,1846.56818
2017-09-12,240.0867615,1732.516345,2019.774899,1330.792668,1300.24907,1324.683949,1318.575229,1574.633972,1514.460876,1393.899294,1849.5
2017-09-13,241.612442,1731.274457,2019.177931,1330.688277,1293.785097,1323.307641,1315.927005,1547.904749,1508.866451,1386.746537,1835.98358
2017-09-14,239.4510345,1743.257212,1997.738674,1326.81564,1287.4443,1318.941372,1311.067104,1520.785039,1500.864192,1377.652941,1819.52624
2017-09-15,241.0614929,1741.532318,1972.841274,1318.478362,1276.37403,1310.057495,1301.636629,1505.77586,1489.527995,1366.975062,1793.79316
2017-09-18,243.77388,1743.572312,1992.779202,1326.708465,1282.199772,1317.806726,1308.904988,1521.982238,1499.136243,1376.123072,1806.69516
2017-09-19,241.5700836,1739.722729,1988.734447,1323.34242,1285.99672,1315.87328,1308.40414,1531.895632,1499.138481,1377.441779,1805.7043
2017-09-20,243.1381683,1742.491103,1985.576195,1323.735156,1287.814639,1316.551052,1309.366949,1531.7613,1499.613771,1378.140478,1804.90942
2017-09-21,239.4933929,1737.708303,1961.333393,1312.84503,1278.632641,1306.002552,1299.160074,1564.548375,1494.318624,1375.917883,1801.70578
2017-09-22,239.7053375,1754.303882,1975.610356,1323.206525,1289.552643,1316.475749,1309.744972,1580.755412,1507.092791,1387.804682,1796.1775
2017-09-25,243.2229462,1758.666892,1977.857233,1326.582357,1288.068132,1318.879512,1311.176667,1569.161694,1507.198927,1386.844548,1796.93205
2017-09-26,241.9938965,1756.893227,1967.834433,1322.240519,1283.005186,1314.393452,1306.546385,1561.481753,1501.770708,1381.573,1788.09044
2017-09-27,241.2310333,1765.775294,1969.428411,1325.478246,1289.907678,1318.364132,1311.250019,1563.518216,1506.246,1385.794049,1794.64821
2017-09-28,239.3239136,1765.869633,1966.36528,1323.852942,1299.629494,1319.008253,1314.163563,1572.278865,1508.73829,1389.611901,1812.39567
2017-09-29,240.6376801,1773.251358,1982.256586,1332.048541,1309.781446,1327.595122,1323.141703,1587.954198,1519.432708,1399.992286,1826.4598
2017-10-02,240.0019684,1783.277193,1994.426554,1339.235239,1316.820788,1334.752348,1330.269458,1600.122964,1528.414935,1408.269289,1840.00966
2017-10-03,236.7810669,1787.966989,1995.221218,1339.989758,1323.893076,1336.770422,1333.551085,1612.74911,1532.87738,1413.305138,1845.0714
2017-10-04,236.6963043,1787.380227,1991.033895,1338.370142,1326.694995,1336.035113,1333.700083,1618.201574,1533.059433,1414.343557,1863.86371
2017-10-05,236.9082031,1786.802534,2004.466505,1342.725747,1337.027008,1341.586,1340.446252,1627.026227,1540.011468,1421.47045,1869.36445
